NetLeasableArea(㎡),Floor,YearOfBuilt,PurchasePrice
59.9974,14,2017,24800
101.7244,18,2017,41700
101.7244,8,2017,41700
74.8302,2,2017,30000
59.9974,14,2017,25000
59.9974,20,2017,25000
59.9974,5,2017,24600
59.9974,9,2017,25000
59.9974,10,2017,25000
74.8302,8,2017,30300
59.9974,12,2017,25000
59.9974,12,2017,25000
101.7244,15,2017,49000
74.8302,7,2017,30000
59.9974,14,2017,24800
59.9974,11,2017,25000
101.7244,14,2017,35000
59.9974,15,2017,25000
74.9808,8,2017,28900
84.8954,6,2017,30000
59.9794,16,2017,23900
74.9702,12,2017,30500
74.9702,16,2017,32000
59.9794,4,2017,22100
74.8623,7,2017,28000
59.9794,14,2017,24200
59.9794,8,2017,24000
74.9702,2,2017,29000
59.9794,4,2017,20000
74.8623,9,2017,31000
59.9794,2,2017,22500
59.9794,12,2017,23000
59.9794,12,2017,23000
59.9794,5,2017,23500
59.9794,12,2017,23000
59.9794,10,2017,26000
59.9794,7,2017,22700
59.5972,15,2023,21500
59.5972,19,2023,21500
59.5972,19,2023,21500
81.43,1,2001,20600
81.43,1,2001,19000
81.43,3,2001,20000
81.43,4,2001,20000
81.43,7,2001,19800
81.43,3,2001,18800
81.43,3,2001,20000
48.96,3,1989,8000
61.44,4,1989,12500
61.44,4,1989,6800
131.94,2,2005,39200
110.25,3,2005,38500
110.25,3,2005,38500
84.96,14,2005,30000
131.94,4,2005,44000
110.25,11,2005,37000
84.96,15,2005,30500
84.96,7,2005,29400
84.96,19,2005,30800
84.96,3,2005,30300
84.96,20,2005,29000
131.94,12,2005,40000
131.94,17,2005,46000
84.96,10,2005,30000
131.94,3,2005,41500
110.25,18,2005,34500
84.96,1,2005,29500
84.96,19,2005,31500
84.96,22,2005,31000
84.96,4,2005,30000
66.26,5,2019,23000
84.86,14,2005,22800
75.99,4,2005,22000
84.86,11,2005,25000
84.86,15,2005,25200
75.99,14,2005,24000
75.99,9,2005,22000
75.99,4,2005,20900
84.86,16,2005,23100
84.86,14,2005,24000
84.86,4,2005,21000
84.86,8,2005,23000
84.03,14,2005,21000
75.99,5,2005,25700
84.86,7,2005,22300
84.86,10,2005,22000
84.86,14,2005,22300
84.03,4,2005,25000
84.86,3,2005,22000
84.86,17,2005,21900
84.03,10,2005,22000
84.86,5,2005,20000
84.86,3,2005,23800
84.86,9,2005,23500
75.99,12,2005,22000
84.86,15,2005,24500
75.99,9,2005,22500
84.86,3,2005,23800
84.86,8,2005,25200
84.86,10,2005,22950
75.99,8,2005,23500
84.03,5,2005,23400
75.99,4,2005,21000
84.03,14,2005,22000
84.86,1,2005,22400
84.86,2,2005,23000
84.86,11,2005,24800
84.86,9,2005,27500
84.86,6,2005,26700
75.99,11,2005,22650
84.03,12,2005,23500
84.86,9,2005,24250
75.99,17,2005,23000
75.99,8,2005,23000
84.03,4,2005,23000
122.16,2,2005,42000
122.16,10,2005,36000
122.16,9,2005,37000
122.16,11,2005,40000
122.16,8,2005,34000
122.16,2,2005,35000
122.16,15,2005,34000
122.16,11,2005,37000
122.16,13,2005,37700
44.64,7,1996,10000
44.64,5,1996,10950
59.4,4,1993,15800
59.4,3,1993,12600
82.05,5,1993,18900
59.4,4,1993,14500
130.22,7,1993,28500
59.4,3,1993,11000
59.4,3,1993,14500
59.4,3,1993,14500
130.22,12,1993,28500
59.4,8,1993,15500
59.4,10,1993,16000
59.4,7,1993,13000
82.05,3,1993,17500
59.95,4,1995,15050
59.95,4,1995,15050
59.95,10,1995,15200
59.95,9,1995,15000
59.95,8,1995,15500
59.95,5,1995,15000
59.95,13,1995,14800
59.95,10,1995,14500
59.95,10,1995,14500
59.95,4,1995,14500
59.95,3,1995,14500
59.95,1,1995,14700
59.95,7,1997,14000
59.86,1,1993,14200
59.94,8,1997,15500
84.972,14,1997,19000
59.94,10,1997,16000
59.94,7,1997,16300
59.94,2,1997,14300
59.94,16,1997,14000
59.94,7,1997,14250
59.94,14,1997,14400
84.972,11,1997,19000
84.972,8,1997,18000
84.972,2,1997,19000
84.972,2,1997,19000
59.94,3,1997,15000
59.94,5,1997,15000
59.94,2,1997,13000
59.94,12,1997,14000
84.972,17,1997,17400
84.972,4,1997,18400
84.972,10,1997,17500
84.972,15,1997,18500
59.94,3,1997,15300
59.94,15,1997,14100
59.94,15,1997,14100
59.94,2,1997,16000
59.94,17,1997,14000
59.94,17,1997,14000
59.94,14,1997,13700
59.94,6,1997,13300
84.972,15,1997,17000
84.972,12,1997,19000
84.88,6,2005,24500
51.72,13,2005,17200
59.06,10,2005,18900
84.87,13,2005,27000
84.87,5,2005,24700
84.87,5,2005,24000
59.06,9,2005,19500
59.06,5,2005,19000
59.36,11,2005,21000
84.88,15,2005,24500
59.36,7,2005,19000
59.06,13,2005,19000
59.06,13,2005,19000
84.87,4,2005,22000
51.72,16,2005,16000
59.36,6,2005,17000
84.87,14,2005,24700
59.06,3,2005,17800
84.88,11,2005,23800
75.79,12,2005,22000
59.36,17,2005,18300
59.06,9,2005,18500
84.87,5,2005,23000
84.87,12,2005,23000
59.36,20,2005,18300
51.72,17,2005,15500
84.88,13,2005,27000
